sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
density,16,1.2,16,1,training,3,1,3,0,0.3191024483372059,0.3200000000000101,0.0008975516628041968,5.385309976826905,0.10770619953649903,0,0
density,16,1.2,16,2,training,4,1,4,0,0.3180804364210498,0.3200000000000101,0.0019195635789603371,11.517381473764821,0.23034762947524237,0,0
density,16,1.2,16,3,training,2,1,2,0,0.3193199987723662,0.3200000000000101,0.0006800012276438894,4.080007365864343,0.08160014731726477,0,0
density,16,1.2,16,4,training,3,1,3,0,0.3188190566856376,0.3200000000000101,0.0011809433143725179,7.08565988623733,0.14171319772470337,0,0
density,16,1.2,16,5,training,2,1,2,0,0.3194613337931295,0.3200000000000101,0.0005386662068805892,3.231997241284791,0.06463994482566969,0,0
density,16,1.2,16,6,validation,3,1,3,0,0.31911495622338126,0.3200000000000101,0.0008850437766288466,5.310262659774787,0.10620525319545919,0,0
density,16,1.2,16,7,validation,3,1,3,0,0.3189601605481736,0.3200000000000101,0.0010398394518364995,6.239036711021024,0.12478073422037757,0,0
density,16,1.2,16,8,validation,4,1,4,0,0.3177995936802859,0.3200000000000101,0.002200406319724235,13.202437918347263,0.2640487583669104,0,0
density,16,1.2,16,9,validation,3,1,3,0,0.3184009094270699,0.3200000000000101,0.0015990905729402205,9.594543437643553,0.19189086875283057,0,0
density,16,1.2,16,10,validation,4,1,4,0,0.3179530984752286,0.3200000000000101,0.002046901524781486,12.281409148691878,0.24562818297378614,0,0
density,16,1.2,16,11,validation,4,1,4,0,0.31765054508459983,0.3200000000000101,0.002349454915410276,14.09672949246367,0.2819345898492339,0,0
density,20,1.2,20,0,training,5,1,5,0,0.39781929827439144,0.4000000000000126,0.0021807017256211814,13.084210353730198,0.2616842070745387,0,0
density,20,1.2,20,1,training,3,1,3,0,0.39900963593765587,0.4000000000000126,0.0009903640623567522,5.942184374142773,0.11884368748281228,0,0
density,20,1.2,20,2,training,5,1,5,0,0.3976979507622328,0.4000000000000126,0.002302049237779824,13.812295426682589,0.27624590853358344,0,0
density,20,1.2,20,3,training,7,1,7,0,0.396218185619739,0.4000000000000126,0.0037818143802736404,22.69088628164446,0.45381772563284006,0,0
density,20,1.2,20,4,training,5,1,5,0,0.3976065077564746,0.4000000000000126,0.00239349224353802,14.36095346123165,0.28721906922456714,0,0
density,20,1.2,20,5,training,5,1,5,0,0.3980512213840663,0.4000000000000126,0.0019487786159463338,11.69267169568168,0.23385343391356392,0,0
density,20,1.2,20,6,validation,4,1,4,0,0.3988966152584354,0.4000000000000126,0.001103384741577229,6.620308449466475,0.13240616898927016,0,0
density,20,1.2,20,7,validation,5,1,5,0,0.39761283013841897,0.4000000000000126,0.002387169861593652,14.323019169565288,0.28646038339123836,0,0
density,20,1.2,20,8,validation,7,1,7,0,0.39622457316885457,0.4000000000000126,0.0037754268311580574,22.652560986951237,0.45305121973897305,0,0
density,20,1.2,20,9,validation,6,1,6,0,0.39735849862602507,0.4000000000000126,0.0026415013739875537,15.849008243928441,0.3169801648785035,0,0
density,20,1.2,20,10,validation,5,1,5,0,0.3980188306901754,0.4000000000000126,0.0019811693098372163,11.887015859027013,0.23774031718047298,0,0
density,20,1.2,20,11,validation,4,1,4,0,0.3983606718237327,0.4000000000000126,0.0016393281762799305,9.83596905768255,0.19671938115359494,0,0
density,24,1.2,24,0,training,9,1,9,0,0.47577672831038675,0.4800000000000152,0.004223271689628438,25.339630137773945,0.5067926027554132,0,0
density,24,1.2,24,1,training,8,1,8,0,0.4770250116541158,0.4800000000000152,0.0029749883458993764,17.849930075400444,0.35699860150792045,0,0
